line;from_id;to_id;weight;off_peak;am_peak;inter_peak
3;99;236;1.48;1.43;1.5;1.5
3;236;229;1.99;1.98;2;2
3;229;273;1.93;1.8;2;2
3;273;248;1.47;1.42;1.5;1.5
3;248;285;1.83;1.5;2;2
3;285;87;1.79;1.37;2;2
3;87;255;1.79;1.37;2;2
3;255;25;1.8;1.4;2;2
3;25;161;1.66;1.52;1.95;1.52
3;161;44;0.99;0.98;1;1
3;44;166;1.32;0.97;1.5;1.5
3;166;263;1.96;1.8;2;2.07
3;263;2;2.84;1.3;4.05;3.18
3;2;156;2.06;1.75;2;2.42
3;156;167;1.44;1.32;1.5;1.5
3;167;14;1.46;1.38;1.5;1.5
3;14;92;1.54;1.2;1.92;1.51
3;92;145;3.37;3.12;3.5;3.5
3;145;90;1.88;1.65;2;2
3;90;104;1.43;1.3;1.5;1.5
3;104;11;2.18;1.57;2.9;2.07
3;11;83;2.85;1.88;3.6;3.08
3;83;11;2.27;1.47;2.84;2.5
3;11;104;1.97;1.9;2;2
3;104;90;1.42;1.25;1.5;1.5
3;90;145;1.92;1.75;2;2
3;145;92;3.33;2.98;3.5;3.5
3;92;14;1.41;1.22;1.5;1.5
3;14;167;1.45;1.32;1.53;1.5
3;167;156;1.55;1.18;1.95;1.51
3;156;2;2.41;2.18;2.55;2.51
3;2;263;1.83;1.37;2.02;2.1
3;263;166;1.49;1.48;1.5;1.5
3;166;44;0.96;0.88;1;1
3;44;161;1.31;0.93;1.5;1.5
3;161;25;1.41;1.22;1.52;1.5
3;25;255;1.46;1.37;1.5;1.5
3;255;87;1.81;1.43;2;2.01
3;87;285;1.47;1.4;1.5;1.5
3;285;248;1.51;1.52;1.5;1.5
3;248;273;1.78;1.33;2;2
3;273;229;1.92;1.75;2;2
3;229;236;2.49;2;2.98;2.5
3;236;99;2.01;1.48;2.02;2.54
3;99;122;3.04;2.23;3.98;2.92
3;122;186;1.89;1.68;2;2
3;186;18;1.92;1.77;2;2
3;18;193;2.03;1.63;2.45;2.01
3;193;83;3.19;2.15;3.71;3.72
4;267;268;2.04;2.08;2;2.03
4;268;129;1.93;1.78;2;2
4;129;85;2.33;1.98;2.5;2.5
4;85;66;3.01;2.77;3.07;3.18
4;66;67;1.94;1.83;2;2
4;67;21;2.29;1.88;2.5;2.5
4;21;269;2.44;2.33;2.5;2.5
4;269;15;2.8;1.92;2.66;3.82
4;15;78;2.96;2.87;3;3
4;78;270;2.33;2;2.5;2.5
4;270;200;1.98;1.93;2;2.01
4;200;289;1.5;1.5;1.5;1.5
4;289;36;2.04;2.12;2;2
4;36;33;2.41;2.23;2.5;2.5
4;33;164;1.42;1.27;1.5;1.5
4;164;244;1.91;1.72;2;2
4;244;295;3.23;2.63;3.54;3.51
