line;from_id;to_id;weight;off_peak;am_peak;inter_peak
10;187;232;2.46;2.37;2.5;2.5
10;232;9;3.98;3.28;4.31;4.35
10;9;31;2.08;2.25;2;2
10;31;303;2.42;2.2;2.5;2.57
10;303;266;1.51;1.52;1.5;1.5
10;266;160;2.96;2.87;3;3
10;160;95;2.05;1.67;2.49;2
10;95;10;1.45;1.35;1.5;1.5
10;10;128;1.43;1.3;1.5;1.5
10;128;39;1.4;1.2;1.5;1.5
10;39;145;3.43;2.78;4;3.52
10;145;223;1.89;1.67;2;2
10;223;126;1.46;1.37;1.5;1.5
10;126;60;1.84;1.53;2;2
10;60;151;0.92;0.77;1;1
10;151;197;1.36;1.07;1.5;1.5
10;197;107;1.39;1.18;1.5;1.5
10;107;133;2.08;1.73;2.48;2.02
10;133;146;1.37;1.12;1.5;1.5
10;146;236;2.41;2.23;2.5;2.5
10;236;99;1.46;1.37;1.5;1.5
10;99;74;1.46;1.37;1.5;1.5
10;74;17;2.89;2.68;3;3
10;17;110;1.77;1.32;2;2
10;110;1;6.08;4.7;6.67;6.87
10;1;234;2.97;2.8;3.08;3.02
10;234;176;1.93;0.95;2.87;1.98
10;176;30;1.85;1.55;2;2
10;30;190;2.95;2.85;3;3
10;190;131;1.84;1.52;2;2
10;131;130;1.42;1.27;1.5;1.5
10;130;132;1.95;1.85;2;2
10;132;116;4.77;3.3;5.5;5.5
10;116;118;2.37;2.1;2.5;2.5
10;118;117;4.88;4.63;5;5
10;1;73;1.92;1.72;2.02;2.01
10;73;182;1.96;1.88;2;2
10;182;194;1.89;1.67;2;2
10;194;5;2.46;2.37;2.5;2.5
10;5;252;2.34;2.03;2.5;2.5
10;252;251;2.42;2.25;2.5;2.5
10;251;235;2.9;2.05;3.91;2.75
10;235;210;2.96;2.4;3.43;3.06
10;210;75;2.4;2.2;2.5;2.5
10;75;222;1.91;1.73;2;2
10;222;220;1.57;1.27;1.95;1.5
10;220;134;2.41;2.23;2.5;2.5
10;134;125;1.86;1.58;2;2
10;125;271;3.71;3.7;3.92;3.5
11;274;26;2.04;2.12;2;2
11;26;260;2.09;1.9;2.36;2
11;260;224;2.68;2;2.77;3.28
11;224;95;3.92;3.77;4;4
11;95;123;2.78;2.9;2.89;2.55
11;123;145;3.26;2.77;3.5;3.5
11;145;89;1.58;1.32;1.92;1.5
11;89;277;1.43;1.3;1.5;1.5
11;277;192;2.05;1.72;2.44;2
11;192;107;1.94;1.78;2;2.04
11;107;273;2.31;1.88;2.5;2.54
11;273;198;1.94;1.83;2;2
11;198;272;1.48;1.4;1.5;1.54
11;272;245;2.59;2.3;2.94;2.52
11;245;35;2.34;2.03;2.5;2.5
11;35;245;2.21;2.18;2.45;2
11;245;272;2.41;2.23;2.5;2.5
11;272;198;1.46;1.37;1.5;1.5
11;198;273;2.55;2.18;2.97;2.51
11;273;107;1.98;1.95;2;2
11;107;192;2.15;1.97;2.47;2.02
11;192;277;2.02;1.53;2.48;2.04
11;277;89;1.44;1.32;1.5;1.5
11;89;145;1.78;1.35;2;2
11;145;123;2.96;2.87;3;3
11;123;95;2.64;2.4;2.97;2.56
11;95;224;5.12;4.25;5.34;5.76
11;224;260;1.53;1.6;1.5;1.5
11;260;26;2.32;1.97;2.5;2.5
11;26;274;2.06;2.12;2.04;2.01
12;279;13;4.29;4.87;4;4
12;13;279;3.9;4.2;3.75;3.75
